# CARDINAL DIRECTIONS
north	norda	adj.	w
south	suda	adj.	w
southwards	suden	adv.	w
east	orienta	adj.	w
west	okcidenta	adj.	w
towards the west	okcidenten	adv.	w

# VARIOUS
Romania	Rumanio	n.proper	w
Romanian	rumano	n.	w
China	Ĉinio	n.proper	w
Chinese	hano	n. an ethnic Chinese	
Chinese	la mandarena	adj. the official language of China	
European	eŭropa	adj.	
Central European	Centr-Eŭropa	adj.	w
Northern European	Nord-Eŭropa	adj.	w
Western European	Okcident-Eŭropa	adj.	w
Eastern European	Okcident-Eŭropa	adj.	w
Southern European	Sud-Eŭropa	adj.	s
central european	mez-eŭropa	adj.	w
Finn	finno	n.	
India	Hindio	n.proper	w


# BRITISH ISLES & IRELAND
Britain	Britio	n. geography	w
british	brita	adj.	w
England	Anglio	n.proper	w
English	angla	adj.	
Englishman	anglo	n.	
London	Londono	n.proper	w
Bristol	Bristolo	n.proper in England	w
Oxford	Oksfordo	n.proper	
John o’ Groats	Johano de Kvar'pencoj	n. Scottish village	
Land’s End	Terfino	n.	
Bloomsbury	Blumsberio	n.proper	

# UNITED STATES
New Orleans	Nov-Orleano	n.proper	
Florida	Florido	n.proper	w
Gainsville	Gajnesvilo	n. CITY	
Gainsville pike	Gajnesvila Vojo	n.	
Memphis	Memfiso	n.proper city in Tennessee	w
Indian	Indiano	n.proper American Indian	w
Alabama	Alabamo	n.	w
Mississippi	Misisipo	n.	

# GREECE
Grecian	helena	adj. ancient greek	
Greece	Grekio	n.	
Greek	greko	n. a modern Greek	w
Greek	heleno	n. an ancient Greek	w
Hellas	Helaso	n. Green name for Greece	w
Samos	Samoso	n. Greek Island	
Athens	Ateno	n. ANCIENT Greek city 	w
Athens	Atenoj	n. MODERN Greek city 	w
Athenian	atena	adj. thing of Athens 	w
Athenian	atenano	n. person of Athens 	w
Alexandria	Aleksandrio	n.	w
Thessaly	Tesalio	n. proper noun, place	
Macedonian	makedono	n. ancient Macedonian person	w
Macedonian	makedonano	n. ancient Macedonian citizen	w
Hymettus	Himeto	n. mountain in Greece	
Ilissus	Iliso	n. ancient river	
Kifissia	Kifisjo	n. suburb of Athens, Greece	
Cephissia	Kifisjo	n. suburb of Athens, Greece	
Cephissian	Kifisja	adj. related to the suburb of Athens, Greece	

# AFRICA
Africa	Afriko	n.proper	w
Zimbabwe	Zimbabvo	n.proper	w
Sudan	Sudano	n.proper	w

# ITALY
Italian	italo	n. Italian person	 w
Tyrolese	Tirola	adj.	w
Venice	Venecio	n.	w
venetian	veneciano	n. person of Venice geography	w
Florence	Florenco	n. Italian city	w
Meran	Merano	n.	

# ROME
Rome	Romo	n. capital of ancient Roman empire or modern Italy	
Rome	Romanio	n.	
Rome	Romio	n.	
Roman	Romiano	n. ancient Roman	
Roman	Romano	n.	
Roman	romano	n.	
Roman	romiano	n. an ancient Roman	
Campagna	Kamparo	n.proper Roman Campagna, countryside around Rome	

# MIDDLE EAST
Arabic	la araba	phr. Arabic language	w
Arab	araba	adj. related to Arabia	w
Arab	arabo	n. an Arab person	
Syria	Sirio	n.proper	
Syrian	Siria	adj.	w
Libyan	Libia	adj.	W
Persian	perso	n. Persian person	w
Persian	persa	adj. of Persia	w
Persian Gulf	Persa Golfo	n.	w
Iran	Irano	n.proper	w
Mesopotamia	Mezopotamio	n.proper	w
khan	ĥano	n. leader of Turkish, Tartar, or Mongol tribe	w
Babel	Babelo	n.proper	w
Macedonian	makedona	adj. related to Macedonia	w
Macedonia	Makedonio	n.proper country	w
Araby	Arabio	n.proper Arabia	w
Babylon	Babilono	n.proper city	w
Babylonia	Babilonio	n. kingdom	w

# EGYPT
Egypt	Egiptujo	n.proper	w
Egyptian	egipto	n. Egyptian person	w
Egyptian	egipta	adj.	w
Alexandria	Aleksandrio	n.	w
Memphis	Menefro	n. city in ancient Egypt	w
Nile	Nilo	n.proper river in Egypt	w
Isis	Iziso	n. Egyptian goddess	w
Kephren	Kefreno	n. aka Khafre, Pharoah c2500 BC	
Menophis	Menofiso	n.proper personal name	
Nefertiti	Nefertito	n.proper	w
Sethos	Seto	n.proper name	
Rames	Rameso	n.proper name	
Aton	Atono	n.proper name of Egyptian god	

# UNSORTED
France	Francio	n.proper	w
French	franca	adj.	w
Ireland	Irlando	n.proper	w
Asia	Azio	n.proper	w

Salamis	Salamino	n. GEOGRAPHY island near Athens	w
Libia	Libio	n.proper	
Italy	Italio	n.proper	w
Florentine	florencano	n. person of Florence	w
Florentine	Florenca	adj. of Florence	w

Madrid	Madrido	n.proper	w
American	Usonano	n.	w
Barcelona	Barcelono	n.proper	w

Belgian	belga	adj. related to Belgium	 w
Belgian	belgo	n. Belgian person	 w

Bucharest	Bukareŝto	n.proper Romania	w
Yugoslavia	Jugoslavujo	n.proper non-PIV	 w
Yugoslavia	Jugoslavio	n.proper	w

austrian	aŭstra	adj. Geography	 w

Balkan	balkana	adj. geography	 w


Scottish girl	skotino	n.	 
Swiss	svisa	adj. of Switzerland	w

Hungarian	hungara	adj	 w

Anglo-Saxon	anglosaksa	adj.	s

Milan	Milano	n.proper	 w
Russian	rusino	n. a female Russian person	 w

swede	svedo	n.	 w

Taurus	Taŭruso	n. proper mountain range in Turkey	 w

Yugoslavian	jugoslava	adj.	w

Brazil	Brazilo	n.	w
brazilian	brazilanino	n. female brazilian person	w
South America	Sudameriko	n.	w

scandinavian	skandinavo	n. Scandinavian person	s

Danube	Danubo	n. river	w
Rhone	Rodano	n. river	w
Rhine	Rejno	n. river	w
Jura	Ĵuraso	n. region	w


