sea	maro	n.	

moist	malseketa	adj.	w

moistened	malseketa	adj.	w

water	akvo	n.	w
moisture-stained	makulita de malsekeco	phr.	

drip	guti	v.ntr like a drop or like a wet thing	w
dripping	gutanta	adj. like a drop or like a wet thing	

plopped	plaŭdis	v.ntr	w
lapping	plaŭdado	n. of water	w

dank	malseka	adj. wet	w
dry	seka	adj.	w
dryness	sekeco	n.	w

moisture	malsekeco	n.	w
bubbled	bobelis	v.	
bubbling	bobelanta	adj.	

splashed	ŝprucinta	adj.	
gush	ŝpruci	v.ntr	
splashed	ŝprucis	v.ntr	w

gutter	defluilo	n.	


bath	bano	n.	
bathe	bani	v.tr bathe an other	w
bathe	baniĝi	v.ntr bathe oneself	w

take a shower	sin duŝi	v.	

flood	inundo	n.	
in flood	inundanta	adj. having been flooded	

lapping	plaŭdanta	adj.	

torrent	torento	n.	w
rushing	torenta	adj. rushing as a rivulet might	
rush	torenti	v.ntr like a rushing flow	w

stream	fluo	n.	w


pour	verŝi	v.tr pour a liquid	
faucet	krano	n.	w
dive	plonĝi	v.ntr	
well	puto	n. from which water comes	w


absorb	absorbiĝi	v.ntr become absorbed 	w
absorbed	absorbita	adj. 	w
absorption	absorbiĝo	n. 	w
absorption	absorbiteco	n. 	w
absorb	sorbi	v.tr draw into oneself and retain	w

fountain	fontano	n.	
fountain	fonto	n.	
had been drowned	dronis	v.* drowned	

mist	brumo	n. WATER	w
parched	sekigita	adj. WATER	w
