food	manĝaĵo	n.	
morsel	mordaĵo	n.	w
chewing	maĉo	n.	
delicious	bongusta	adj.	
starve	malsati	v.ntr
bon appetit	bonan apetiton	phr. 	

provisions	provianto	n. normally food	
cater	provianti	v.	w
caterer	proviantanto	n.	w


drink	drinki	v. drink something alcoholic to excess	
drink	trinki	v.tr incl. alcohol in moderation	
foaming	ŝaŭma	adj. frothy	

dessert	deserto	n.	
corn	greno	n. in the sense of a staple grain, not ears of corn
flour	faruno	n.
pie	torto	n.
bread	pano	n.	
cake	kuko	n.	
pie	torto	n.	
pies	tortoj	n.	
meat	viando	n.	
beef	bovaĵo	n.	
prune	sekigita pruno	n.	
plum	pruno	n.	
plum-pudding	prun’pudingo	n.	
pork	porkaĵo	n.	
lard	porkograso	n. FOOD	w
red pepper	papriko	n.	
matzo	maco	n.	
roll	bulko	n. baked good	
roast	rostita	adj. that has been roasted	
candy	sukeraĵo	n.	
chili pepper	kapsiko	n.	
Mandarin orange	mandarino	n. the fruit not the tree	
paprika	papriko	n.	
bell pepper	kapsiko	n.	
peppercorn	pipro	n.	
popcorn	krevmaizo	n.	w
pomegranate	granato	n.	
spice	spico	n.	w
currant	ribo	berry	w
pizza	pico	n.	w
berry	bero	n.	
bun	bulko	n.	w

salt	salo	n.	
pepper	pipro	n.	

potation	trinkaĵo	n.	
grape juice	mosto	n.	

tasty	bongusta	adj.	w

take supper	vespermanĝi	v.	
take coffee	elekti kafon	phr.	

bite	mordi	v.	w
bitter	amara	adj. literal or figurative	w
